app_number,app_status,latitude,longitude
08/06740/COND,A,53.8471211553266,-1.59442314015233
09/00004/COND,A,53.8471211553266,-1.59442314015233
09/00002/FU,R,53.8148076910617,-1.59127211469478
08/06969/FU,A,53.8904895041731,-1.43853225278237
08/06452/FU,A,53.8145653499014,-1.51418065731017
08/06368/FU,A,53.8570519934291,-1.55850827323283
08/06934/FU,A,53.8955414612443,-1.34793640837385
08/06836/FU,A,53.9276225663903,-1.40209375701182
08/06622/FU,R,53.8238877117753,-1.5014640914719
08/06874/FU,A,53.8241519497397,-1.582491779139
09/00014/FU,A,53.9392464309653,-1.38654203591295
09/00007/FU,A,53.8342121452175,-1.59374245359142
09/00008/FU,W,53.8358492980873,-1.63031755592788
08/06662/FU,A,53.7667420117054,-1.55893989134467
08/06819/FU,W,53.8325363307006,-1.45442576760795
09/00010/LA,W,53.7757644403266,-1.62738573578369
09/00025/FU,A,53.8361990535449,-1.54860713887972
08/06876/FU,W,53.8449900120324,-1.53235617849611
08/06825/FU,W,53.7740844353755,-1.56362737799482
08/06824/FU,R,53.8131273370294,-1.49247926851781
08/06879/FU,A,53.7628924005487,-1.38131723618007
09/00024/FU,A,53.8482861051668,-1.57776778816006
08/06471/FU,R,53.7982558607131,-1.68849126703457
09/00022/FU,A,53.8450130383448,-1.51106220056648
09/00018/LI,R,53.821462644732,-1.57937408755449
08/06946/LI,R,53.7488152971011,-1.47319200522452
09/00032/COND,A,53.8934768339954,-1.45486526874857
08/06472/FU,A,53.8231559512682,-1.66312016783827
08/06610/FU,A,53.7490627660184,-1.6308973498535
08/06718/FU,W,53.7682326498452,-1.55370539253198
09/00030/FU,A,53.8310201263676,-1.56763991440941
09/00044/FU,A,53.8153436759368,-1.53365812955955
08/06901/FU,A,53.7788720684724,-1.60151523748522
09/00055/FU,R,53.855273077955,-1.60516863708542
09/00043/FU,A,53.8490161871356,-1.51860057540405
09/00028/FU,R,53.8321580946518,-1.49749139032367
09/00034/FU,A,53.8964133272355,-1.53321298214566
09/00038/FU,A,53.8123099222923,-1.65763343314939
09/00040/FU,A,53.8714250104014,-1.44800389931995
09/00029/FU,A,53.8332349257194,-1.34436095189184
08/06667/FU,A,53.8539159201084,-1.53257597976439
08/06513/FU,W,53.8659445265641,-1.46034772653523
08/06880/FU,R,53.8941498748278,-1.43709847967762
08/06837/LI,A,53.8262413679555,-1.58111892021698
09/00035/LI,A,53.903153836379,-1.53310744638008
09/00054/LI,R,53.855273077955,-1.60516863708542
09/00036/LI,A,53.8964133272355,-1.53321298214566
09/00047/FU,R,53.8087531840984,-1.66168661442206
08/06822/FU,R,53.8086562762042,-1.5646809151089
08/06664/FU,A,53.831069613437,-1.53750994831281
09/00053/FU,A,53.9052662098817,-1.34789157242173
08/06891/FU,A,53.8140717549545,-1.63334918018246
08/06912/FU,A,53.8140902540354,-1.62192787476156
08/06005/FU,R,53.7628363927193,-1.41493332933923
09/00062/FU,A,53.8803440967636,-1.71819876999345
09/00050/FU,W,53.8375011814935,-1.64154817392965
09/00060/FU,A,53.9013309827674,-1.69617237093442
09/00049/FU,A,53.8848164295386,-1.6191149504531
08/06983/FU,R,53.7338665804284,-1.59284545368597
09/00046/FU,A,53.8250526696562,-1.54351613772205
09/00059/FU,A,53.9068436554596,-1.72353070699527
08/06888/LA,A,53.8421438898792,-1.51723556632559
08/06892/LI,A,53.8140717549545,-1.63334918018246
08/06687/FU,R,53.7720737673321,-1.52187813420962
09/00056/FU,A,53.8417963674861,-1.54327334865641
10/02413/FU,R,53.7964365949107,-1.59138991595268
10/02408/FU,A,53.8955481304682,-1.45181007564634
10/02230/FU,A,53.7793729563579,-1.58229872662685
09/00070/FU,A,53.9098857144185,-1.3445315543928
09/00069/FU,R,53.8501783408669,-1.62237821077187
09/00067/FU,A,53.9068436554596,-1.72353070699527
08/06942/LA,A,53.8155074670281,-1.53649651656032
08/06966/ADV,A,53.8064171808373,-1.53330159248224
09/00088/COND,A,53.8991449394713,-1.39951737244523
09/00084/COND,A,53.8053285047351,-1.5060725234071
09/00081/COND,SPL,53.8049891999171,-1.6721181953015
08/06000/FU,W,53.8015102232123,-1.64962873397085
09/00078/FU,A,53.9068505768461,-1.40917909257084
09/00090/FU,R,53.8558046696322,-1.50377593586205
08/06748/FU,A,53.8532989196546,-1.51747211808529
08/06829/FU,A,53.8832018446238,-1.44661660684513
09/00083/FU,A,53.7809768057377,-1.56322205146487
09/00094/FU,A,53.9029577908696,-1.69975246742034
09/00089/FU,R,53.8387712993813,-1.53958306364818
09/00079/FU,A,53.8480211611945,-1.58948964919707
09/00095/FU,R,53.754120458347,-1.4675748495387
09/00091/FU,A,53.8835354761408,-1.44296109002121
09/00086/FU,A,53.8905634517528,-1.65927703096173
08/06568/FU,A,53.8102000877019,-1.47230154387583
09/00106/OT,R,53.9180166245031,-1.40797097265592
08/06878/ADV,A,53.8441342391526,-1.50935498873134
09/00092/ADV,A,53.9289036402245,-1.38523162061665
08/06638/COND,A,53.7919808830401,-1.56149876026383
08/06777/COND,A,53.7840888508699,-1.53509730942954
09/00110/DEM,A,53.7744658282505,-1.41284464940013
09/00117/FU,A,53.7903329044138,-1.44755062357838
08/06978/FU,PD,53.8524677463835,-1.59140717331971
08/06693/FU,A,53.7999474858486,-1.60105748809042
08/06967/FU,A,53.8434727959035,-1.54450138040625
09/00118/FU,A,53.830761182743,-1.50089631872262
09/00143/FU,R,53.7488524127407,-1.45140050378128
09/00121/FU,R,53.8293612411378,-1.63959692226724
09/00045/ADV,A,53.7944790585906,-1.53742656862475
09/00119/COND,A,53.7535591097035,-1.52434801356612
09/00123/COND,A,53.8010704402358,-1.62028369167597
09/00108/COND,A,53.9343369411768,-1.38437498806679
09/00015/FU,A,53.7715915204757,-1.58553178368155
09/00127/FU,A,53.7559956424989,-1.49378973910917
08/06955/FU,A,53.8460783989438,-1.51445444486034
09/00001/FU,A,53.8087685519391,-1.49257744821436
09/00125/FU,A,53.8760176754169,-1.72849463358026
09/00126/FU,A,53.7823038971356,-1.60647572306146
08/05993/ADV,A,53.7973906745911,-1.54909964272949
09/00149/ADV,A,53.796890490022,-1.54280467243514
09/00099/COND,A,53.7542704659819,-1.59844175023342
09/00139/DTM,NR,53.7673087521039,-1.57399859610961
09/00141/DTM,R,53.8435257871671,-1.54662858020565
09/00138/DTM,A,53.8175597320093,-1.65792483503713
09/00027/FU,R,53.7962218836687,-1.54662244194952
09/00133/FU,A,53.7414692871241,-1.60320313682628
09/00131/FU,A,53.7446894027167,-1.50475175922352
09/00135/FU,A,53.9069547242334,-1.43264917375337
09/00151/FU,A,53.796890490022,-1.54280467243514
09/00057/FU,R,53.8339906609463,-1.66462875719005
08/06377/FU,A,53.8942570712723,-1.64364985900265
09/00132/FU,A,53.8117742934209,-1.51969539268597
09/00144/FU,A,53.9063986177923,-1.36805745218759
09/00153/FU,R,53.8354214334139,-1.42551677995236
09/00042/FU,A,53.7479250191026,-1.58268633500181
09/00142/FU,A,53.8831702674485,-1.61585916746631
08/06681/FU,A,53.7950098414132,-1.53291201875676
08/06186/LI,A,53.7973906745911,-1.54909964272949
09/00168/FU,W,53.8636031043874,-1.49227943257819
08/06940/FU,A,53.8014451960283,-1.55174359225047
09/00175/FU,A,53.8191424536851,-1.4580173412086
09/00179/FU,A,53.9325749290772,-1.40209915182941
09/00183/FU,A,53.7693834011141,-1.55863913364306
08/06950/FU,W,53.8225947193373,-1.57925642080762
09/00013/FU,A,53.8846553709531,-1.44218554015154
08/06921/FU,R,53.7907839591639,-1.44208011961315
09/00185/FU,A,53.8765628199075,-1.44533528451819
09/00122/FU,A,53.929699184331,-1.39143369286943
09/00165/FU,A,53.8129896034807,-1.66599608806441
08/06111/FU,A,53.7954883551428,-1.54045167361752
09/00163/FU,R,53.7985262575808,-1.38401172680204
09/00160/FU,R,53.8312349280105,-1.52234456549137
09/00128/FU,A,53.7948020452908,-1.60247255168372
09/00172/FU,A,53.8270178022,-1.58211387760053
09/00158/FU,R,53.8178918221989,-1.57608341209226
09/00173/FU,A,53.8094613248152,-1.51004828177299
09/00174/FU,R,53.852834542632,-1.67969514341906
